id,ward_no,Services,service_type,Location_latitude,Location_longitude,Location_altitude,Location_precision,Image,Available_Service,Service_Hour,Ownership,Capacity,Open_Space,Area_of_Open_Space,Capacity_of_Open_Space,Contact_Number,Area,Emergency_Contact_No,Service_Area
267,15,business_centres,local_market,28.1907751,83.996129,797.8599878,5,1614151284014.jpg,Agro farm,24,n/a,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a
268,15,business_centres,local_market,28.189756,83.9929544,797.8599878,4.9,1614151794258.jpg,Puspa sagar krishi farm,12,n/a,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a
269,15,transportation_faciliity,bus_station,28.1890587,83.9906496,797.8599878,5,1614152083298.jpg,n/a,n/a,n/a,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a
270,15,utility_infrastructure,tap,28.1890874,83.9905053,797.8599878,5,1614152163168.jpg,n/a,24,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
271,15,business_centres,financial_institude,28.1889079,83.9909791,797.8599878,5,1614152312978.jpg,Nepal bank,8,n/a,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a
272,15,public_places,school_colleges,28.1887959,83.9907896,797.8599878,4.958,1614152588954.jpg,Foresty campus,n/a,n/a,400,yes,n/a,n/a,n/a,n/a,n/a,n/a
273,15,business_centres,local_market,28.1782364,83.9985257,797.8599878,4.8,1614154390625.jpg,Fulbari resort,24,n/a,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a
276,15,public_places,school_colleges,28.1867139,83.9979942,756.1648061,5,1614158296831.jpg,Hastakala training centre,n/a,n/a,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a
277,15,geographical_features,park,28.1877224,83.996689,756.4468249,4.836,1614158496299.jpg,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
278,15,public_places,government_offices,28.1948453,83.9964461,758.7334352,4.851,1614159253142.jpg,Pasu sewa karyalaya,n/a,n/a,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a
279,15,business_centres,financial_institude,28.1948902,83.9964335,758.6856913,4.944,1614159355692.jpg,Ime pay and tour and travel,8,n/a,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a
280,15,utility_infrastructure,tap,28.1952173,83.9965043,758.9189714,4.75,1614159491483.jpg,n/a,24,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
281,15,business_centres,local_market,28.1955714,83.9967843,758.6389748,4.967,1614159627179.jpg,Pasu palan farma,12,n/a,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a
282,15,public_places,religious_places,28.197455,83.9976101,759.3708251,4.75,1614160511108.jpg,Temple,n/a,n/a,n/a,no,n/a,n/a,n/a,n/a,n/a,n/a
283,15,public_places,school_colleges,28.20008,83.9976606,760.2722549,4.833,1614160809194.jpg,Lekhnath vibhuti  secondary boarding school,n/a,n/a,500,no,n/a,n/a,n/a,n/a,n/a,n/a
